C/A,UNIT,SCP,STATION
A060,R001,00-00-00,WHITEHALL ST
A060,R001,00-00-01,WHITEHALL ST
A060,R001,00-00-02,WHITEHALL ST
A060,R001,00-00-03,WHITEHALL ST
A060,R001,00-00-04,WHITEHALL ST
A060,R001,00-00-05,WHITEHALL ST
A060,R001,00-00-06,WHITEHALL ST
A060,R001,00-00-07,WHITEHALL ST
A058,R001,01-00-00,WHITEHALL ST
A058,R001,01-00-01,WHITEHALL ST
A058,R001,01-00-02,WHITEHALL ST
A058,R001,01-00-03,WHITEHALL ST
A058,R001,01-06-00,WHITEHALL ST
A058,R001,01-06-01,WHITEHALL ST
A058,R001,01-06-02,WHITEHALL ST
R101,R001,02-00-00,SOUTH FERRY
R101,R001,02-00-01,SOUTH FERRY
R101,R001,02-00-02,SOUTH FERRY
R101,R001,02-00-03,SOUTH FERRY
R101,R001,02-00-04,SOUTH FERRY
R101,R001,02-00-05,SOUTH FERRY
R101,R001,02-00-06,SOUTH FERRY
R101,R001,02-00-07,SOUTH FERRY
R101,R001,02-00-08,SOUTH FERRY
R101,R001,02-06-00,SOUTH FERRY
R101,R001,02-06-01,SOUTH FERRY
R101,R001,02-07-00,SOUTH FERRY
R101,R001,02-07-01,SOUTH FERRY
R101,R001,02-07-02,SOUTH FERRY
R101,R001,02-07-03,SOUTH FERRY
J025,R003,00-00-00,CYPRESS HILLS
J025,R003,00-00-01,CYPRESS HILLS
J025,R003,00-00-02,CYPRESS HILLS
J028,R004,00-00-00,ELDERTS LANE
J028,R004,00-00-01,ELDERTS LANE
J028,R004,00-00-02,ELDERTS LANE
J028,R004,00-00-03,ELDERTS LANE
J028,R004,00-00-04,ELDERTS LANE
J030,R005,00-00-00,FOREST PARKWAY
J030,R005,00-00-01,FOREST PARKWAY
J030,R005,00-00-02,FOREST PARKWAY
J030,R005,00-00-03,FOREST PARKWAY
J031,R006,00-00-00,WOODHAVEN BLVD
J031,R006,00-00-01,WOODHAVEN BLVD
J031,R006,00-00-02,WOODHAVEN BLVD
